ACC X, ACC Y, ACC Z, GYRO X, GYRO Y, GYRO Z
-720,128,16832,269,312,-680,
-688,128,16784,312,-680,269,
-656,48,16816,14337,22529,3581,
-656,160,16832,312,-680,269,
-688,64,16784,3581,14337,22529,
-672,64,16816,14337,22529,3581,
-704,96,16800,-680,269,312,
-640,80,16896,269,312,-680,
-640,160,16704,269,312,-680,
-640,96,16752,269,312,-680,
-608,176,16656,3581,14337,22529,
-704,32,16816,3581,14337,22529,
-752,96,16816,22529,3581,14337,
-608,96,16848,3581,14337,22529,
-704,112,16816,14337,22529,3581,
-656,144,16832,3581,14337,22529,
-656,128,16848,312,-680,269,
-688,144,16800,269,312,-680,
-672,112,16848,22529,3581,14337,
-720,64,16816,-680,269,312,
-656,176,16848,312,-680,269,
-608,192,16816,14337,22529,3581,
-656,80,16848,22529,3581,14337,
-640,80,16768,22529,3581,14337,
-656,112,16752,22529,3581,14337,
-736,160,16768,269,312,-680,
-672,80,16736,14337,22529,3581,
-656,160,16720,269,312,-680,
-672,144,16784,312,-680,269,
-720,80,16832,14337,22529,3581,
-608,80,16880,312,-680,269,
-640,96,16768,269,312,-680,
-672,80,16736,22529,3581,14337,
-608,144,16864,14337,22529,3581,
-720,128,16864,22529,3581,14337,
-608,112,16752,22529,3581,14337,
-704,144,16800,22529,3581,14337,
-672,48,16736,269,312,-680,
-640,128,16768,22529,3581,14337,
-640,96,16736,3581,14337,22529,
-640,96,16800,-680,269,312,
-592,112,16784,14337,22529,3581,
-608,64,16848,-680,269,312,
-720,80,16768,22529,3581,14337,
-576,16,16688,269,312,-680,
-704,96,16752,22529,3581,14337,
-624,80,16896,-680,269,312,
-688,96,16800,269,312,-680,
-656,160,16768,22529,3581,14337,
-624,144,16800,14337,22529,3581,
-624,96,16864,14337,22529,3581,
-736,80,16832,3581,14337,22529,
-672,96,16768,-680,269,312,
-688,48,16768,-680,269,312,
-672,112,16752,269,312,-680,
-608,128,16736,312,-680,269,
-704,96,16656,3581,14337,22529,
-688,80,16736,-680,269,312,
-656,112,16880,3581,14337,22529,
-640,128,16816,269,312,-680,
-720,112,16832,312,-680,269,
-640,80,16784,269,312,-680,
-688,48,16752,22529,3581,14337,
-672,48,16816,269,312,-680,
-704,128,16800,3581,14337,22529,
-624,128,16832,-680,269,312,
-608,96,16816,22529,3581,14337,
-624,128,16800,3581,14337,22529,
-704,96,16704,14337,22529,3581,
-640,128,16832,269,312,-680,
-704,96,16784,3581,14337,22529,
-640,96,16848,312,-680,269,
-640,112,16768,22529,3581,14337,
-688,32,16816,269,312,-680,
-672,112,16768,-680,269,312,
-576,16,16832,22529,3581,14337,
-688,112,16784,269,312,-680,
-656,96,16880,22529,3581,14337,
-736,80,16816,312,-680,269,
-672,160,16912,312,-680,269,
