X, Y, Z, Dlugosc wektora
-0.04218489,0.005422222,1.0240408,1.0233845,
-0.04218489,0.005422222,1.0240408,1.0225692,
-0.04218489,0.005422222,1.0240408,1.0245726,
-0.039907556,0.0055306666,1.0245831,1.0267688,
-0.039907556,0.0055306666,1.0245831,1.0261964,
-0.039365333,0.007265778,1.0246916,1.0299003,
-0.040666666,0.0050968886,1.0237156,1.0260732,
-0.040666666,0.0050968886,1.0237156,1.0249302,
-0.040666666,0.0050968886,1.0237156,1.0276266,
-0.040666666,0.0067235553,1.0217636,1.0265408,
-0.03882311,0.003687111,1.0215466,1.0237345,
-0.041859556,0.0069404445,1.0268605,1.0282799,
-0.041859556,0.0069404445,1.0268605,1.0253897,
-0.041859556,0.0069404445,1.0268605,1.0264268,
-0.042944,0.006398222,1.0269688,1.0271606,
-0.042944,0.006398222,1.0269688,1.0235039,
-0.039690666,0.009326222,1.0255591,1.0280468,
-0.039690666,0.009326222,1.0255591,1.0276176,
-0.039690666,0.009326222,1.0255591,1.0252144,
-0.040992,0.006181333,1.0268605,1.02538,
-0.041100442,0.0042293333,1.0251253,1.026603,
-0.041642666,0.006398222,1.0263182,1.0250001,
-0.041642666,0.006398222,1.0263182,1.0272586,
-0.039473776,0.005422222,1.022848,1.0276195,
-0.042076442,0.006615111,1.0233902,1.0235982,
-0.040341333,0.007916444,1.0271858,1.0248508,
-0.040341333,0.007916444,1.0271858,1.025065,
-0.03979911,0.0047715553,1.0252337,1.0215483,
-0.041317333,0.009326222,1.0202453,1.023299,
-0.042835556,0.007591111,1.0258844,1.0254,
-0.038714666,0.0050968886,1.0202453,1.0215212,
-0.038714666,0.0050968886,1.0202453,1.0249983,
-0.036545776,0.0076995553,1.0243663,1.0223705,
-0.040341333,0.006832,1.0262098,1.0235828,
-0.041968,0.009109333,1.0221974,1.0294151,
-0.041968,0.009109333,1.0221974,1.0266802,
-0.041968,0.009109333,1.0221974,1.0270374,
-0.040124442,0.007808,1.0231733,1.0241767,
-0.040341333,0.0065066665,1.0234987,1.0262403,
-0.04175111,0.005639111,1.0270773,1.0230006,
-0.036112,0.005856,1.0250169,1.0250413,
-0.036112,0.005856,1.0250169,1.0261792,
-0.04272711,0.007916444,1.0256675,1.0272938,
-0.04272711,0.007916444,1.0256675,1.028463,
-0.037196442,0.0037955556,1.0234987,1.0235605,
-0.038714666,0.0049884445,1.022848,1.0233113,
-0.041317333,0.0059644445,1.0237155,1.0245392,
-0.041317333,0.0059644445,1.0237155,1.0253729,
-0.041317333,0.0059644445,1.0237155,1.0227742,
-0.036762666,0.006615111,1.0248,1.0240668,
-0.040558223,0.007374222,1.0298969,1.0270996,
-0.040558223,0.007374222,1.0298969,1.0259892,
-0.04316089,0.008350222,1.0251253,1.0229607,
-0.038172442,0.008350222,1.0243661,1.0254436,
-0.038172442,0.008350222,1.0243661,1.0253979,
-0.038172442,0.008350222,1.0243661,1.0248502,
-0.041968,0.007374222,1.0265352,1.0270331,
-0.038497776,0.006289778,1.026752,1.0267465,
-0.038497776,0.006289778,1.026752,1.0232427,
-0.040341333,0.008350222,1.0280534,1.0297421,
-0.036654223,0.0050968886,1.0251254,1.0267171,
-0.036654223,0.0050968886,1.0251254,1.0282093,
-0.042618666,0.008241777,1.0251253,1.0272573,
-0.04120889,0.008675556,1.0254507,1.0236176,
-0.039907556,0.006832,1.0239325,1.0251585,
-0.038714666,0.0049884445,1.0217636,1.0253161,
-0.038714666,0.006289778,1.0272943,1.0277172,
-0.043377776,0.007591111,1.0266435,1.0261775,
-0.041317333,0.008241777,1.0259929,1.0274246,
-0.041317333,0.008241777,1.0259929,1.0271518,
-0.041968,0.009976889,1.0272943,1.0272017,
-0.041968,0.009976889,1.0272943,1.0253038,
-0.041968,0.009976889,1.0272943,1.0241805,
-0.041968,0.009976889,1.0272943,1.0287757,
-0.042293333,0.006181333,1.0221974,1.024605,
-0.041642666,0.005639111,1.0240409,1.0268251,
-0.040666666,0.005313778,1.0250169,1.026558,
-0.039582223,0.006615111,1.0266435,1.0274955,
-0.039582223,0.006615111,1.0266435,1.0240077,
-0.039582223,0.006615111,1.0266435,1.0216452,
-0.039582223,0.006615111,1.0266435,1.0253515,
-0.039582223,0.006615111,1.0266435,1.0297965,
-0.041425776,0.0076995553,1.0241493,1.0255464,
-0.041425776,0.0076995553,1.0241493,1.0239215,
-0.041425776,0.0076995553,1.0241493,1.0243506,
-0.044896,0.0084586665,1.0251253,1.0260129,
-0.044896,0.0084586665,1.0251253,1.0252249,
-0.044896,0.0084586665,1.0251253,1.0265964,
-0.041425776,0.006181333,1.0259929,1.0245523,
-0.03979911,0.005639111,1.0240409,1.0235559,
-0.040016,0.006615111,1.0249084,1.027111,
-0.042510223,0.0094346665,1.0263182,1.0281721,
-0.042510223,0.0094346665,1.0263182,1.0265505,
-0.042510223,0.0094346665,1.0263182,1.0223408,
-0.037955556,0.0055306666,1.0234987,1.026581,
-0.040449776,0.0050968886,1.0232818,1.0246805,
-0.040016,0.0057475553,1.0221974,1.0253313,
-0.040016,0.0057475553,1.0221974,1.0269561,
-0.03687111,0.0065066665,1.0254506,1.0254755,
-0.03687111,0.0065066665,1.0254506,1.0263329,
-0.03687111,0.0065066665,1.0254506,1.0225998,
-0.04218489,0.0070488886,1.0230649,1.0252011,
-0.04218489,0.0070488886,1.0230649,1.0245944,
-0.041425776,0.0065066665,1.0241493,1.0258809,
-0.039582223,0.007808,1.026535,1.0268018,
-0.042618666,0.0045546666,1.0266435,1.0259451,
-0.038064,0.0060728886,1.0231733,1.0241644,
-0.03904,0.007157333,1.0243663,1.0243038,
-0.04023289,0.0057475553,1.0258845,1.024682,
-0.043811556,0.006832,1.0232818,1.0258778,
-0.04175111,0.007808,1.025776,1.0265672,
-0.04175111,0.007808,1.025776,1.0270404,
-0.039473776,0.0070488886,1.0225227,1.0254991,
-0.042293333,0.009868444,1.025776,1.025365,
-0.042293333,0.009868444,1.025776,1.024368,
-0.043486223,0.005639111,1.0233902,1.0244555,
-0.04120889,0.006832,1.0224142,1.0262909,
-0.04175111,0.0076995553,1.0268605,1.0308932,
-0.044245332,0.0069404445,1.0265352,1.0254345,
-0.042401776,0.007157333,1.0278364,1.0276514,
-0.04218489,0.007916444,1.0229565,1.0218223,
-0.04218489,0.007916444,1.0229565,1.0254133,
-0.040666666,0.006615111,1.0263182,1.0252331,
-0.041317333,0.0076995553,1.0244746,1.0246671,
-0.041317333,0.0076995553,1.0244746,1.0234443,
-0.04077511,0.0050968886,1.0223057,1.0232273,
-0.041859556,0.0067235553,1.0244747,1.0254221,
-0.041859556,0.0067235553,1.0244747,1.0250726,
-0.041859556,0.0067235553,1.0244747,1.0238658,
-0.041859556,0.0067235553,1.0244747,1.0257465,
-0.039582223,0.007265778,1.023824,1.0250993,
-0.039582223,0.007265778,1.023824,1.0217108,
-0.039582223,0.007265778,1.023824,1.0255308,
-0.039582223,0.007265778,1.023824,1.0232351,
-0.039582223,0.007265778,1.023824,1.024711,
