T, P, W
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
452.0,311663.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
454.0,314866.0,-40352.547,
452.0,311663.0,-40352.547,
452.0,311663.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
452.0,311663.0,-40352.547,
455.0,316584.0,-40352.547,
454.0,314866.0,-40352.547,
452.0,311663.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
455.0,316584.0,-40352.547,
454.0,314866.0,-40352.547,
457.0,318218.0,-40352.547,
455.0,316584.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
452.0,311663.0,-40352.547,
450.0,309995.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
452.0,311663.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
452.0,311663.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
452.0,311663.0,-40352.547,
454.0,314866.0,-40352.547,
454.0,314866.0,-40352.547,
454.0,314866.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
455.0,316584.0,-40352.547,
454.0,314866.0,-40352.547,
454.0,314866.0,-40352.547,
452.0,311663.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
454.0,314866.0,-40352.547,
455.0,316584.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
452.0,311663.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
452.0,311663.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
452.0,311663.0,-40352.547,
452.0,311663.0,-40352.547,
454.0,314866.0,-40352.547,
455.0,316584.0,-40352.547,
452.0,311663.0,-40352.547,
452.0,311663.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
455.0,316584.0,-40352.547,
452.0,311663.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
452.0,311663.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
455.0,316584.0,-40352.547,
454.0,314866.0,-40352.547,
452.0,311663.0,-40352.547,
454.0,314866.0,-40352.547,
452.0,311663.0,-40352.547,
452.0,311663.0,-40352.547,
452.0,311663.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
454.0,314866.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
453.0,313248.0,-40352.547,
452.0,311663.0,-40352.547,
454.0,314866.0,-40352.547,
454.0,314866.0,-40352.547,
453.0,313248.0,-40352.547,
455.0,316584.0,-40352.547,
455.0,316584.0,-40352.547,
452.0,311663.0,-40352.547,
453.0,313248.0,-40352.547,
454.0,314866.0,-40352.547,
452.0,311663.0,-40352.547,
452.0,311663.0,-40352.547,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
462.0,325033.0,-40882.61,
463.0,326785.0,-40882.61,
462.0,325033.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
460.0,323167.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
462.0,325033.0,-40882.61,
462.0,325033.0,-40882.61,
462.0,325033.0,-40882.61,
464.0,328612.0,-40882.61,
462.0,324884.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326706.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
466.0,330381.0,-41399.004,
471.0,337700.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
460.0,323336.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
462.0,325033.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
462.0,325033.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
466.0,330643.0,-41399.004,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
471.0,337700.0,-41399.004,
466.0,330381.0,-41399.004,
468.0,333955.0,-41399.004,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
466.0,330381.0,-41399.004,
462.0,325035.0,-40882.61,
463.0,326785.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
462.0,325033.0,-40882.61,
462.0,325033.0,-40882.61,
466.0,330639.0,-41399.004,
462.0,325033.0,-40882.61,
463.0,326785.0,-40882.61,
468.0,333955.0,-41399.004,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
460.0,322917.0,-40882.61,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
469.0,335877.0,-41399.004,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328888.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
463.0,326342.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
462.0,325033.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
468.0,333867.0,-41399.004,
466.0,330381.0,-41399.004,
469.0,335877.0,-41399.004,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
462.0,325033.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
462.0,325033.0,-40882.61,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
471.0,337700.0,-41399.004,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,327984.0,-40882.61,
463.0,327385.0,-40882.61,
471.0,338796.0,-41399.004,
471.0,337700.0,-41399.004,
464.0,328612.0,-40882.61,
460.0,323336.0,-40882.61,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
469.0,335877.0,-41399.004,
460.0,323336.0,-40882.61,
462.0,324884.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
462.0,325033.0,-40882.61,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
462.0,325033.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
462.0,325033.0,-40882.61,
462.0,325033.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
467.0,332169.0,-41399.004,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326342.0,-40882.61,
468.0,333955.0,-41399.004,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
461.0,324379.0,-40882.61,
462.0,324782.0,-40882.61,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
467.0,332169.0,-41399.004,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
462.0,325033.0,-40882.61,
467.0,332169.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
471.0,337964.0,-41399.004,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
462.0,325033.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
469.0,335877.0,-41399.004,
462.0,325033.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
460.0,322919.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
467.0,332325.0,-41399.004,
467.0,332169.0,-41399.004,
471.0,337700.0,-41399.004,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
467.0,333049.0,-41399.004,
463.0,326785.0,-40882.61,
471.0,338169.0,-41399.004,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
462.0,325033.0,-40882.61,
463.0,326785.0,-40882.61,
468.0,333955.0,-41399.004,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
460.0,322316.0,-40882.61,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
467.0,332169.0,-41399.004,
463.0,326785.0,-40882.61,
462.0,325033.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
462.0,325033.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
453.0,313248.0,-40352.547,
450.0,309995.0,-40352.547,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
463.0,326262.0,-40882.61,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
462.0,325644.0,-40882.61,
463.0,326785.0,-40882.61,
461.0,324025.0,-40882.61,
463.0,326785.0,-40882.61,
462.0,325033.0,-40882.61,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
471.0,338896.0,-41399.004,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328180.0,-40882.61,
466.0,331531.0,-41399.004,
462.0,325033.0,-40882.61,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
460.0,323336.0,-40882.61,
465.0,329313.0,-41399.004,
463.0,326785.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
465.0,329062.0,-41399.004,
464.0,328612.0,-40882.61,
459.0,321654.0,-40882.61,
462.0,324784.0,-40882.61,
472.0,339545.0,-41902.492,
468.0,333955.0,-41399.004,
462.0,325033.0,-40882.61,
466.0,330381.0,-41399.004,
462.0,325033.0,-40882.61,
460.0,323336.0,-40882.61,
468.0,333955.0,-41399.004,
464.0,327657.0,-40882.61,
468.0,333955.0,-41399.004,
462.0,325033.0,-40882.61,
467.0,332169.0,-41399.004,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
462.0,325033.0,-40882.61,
462.0,325033.0,-40882.61,
464.0,328180.0,-40882.61,
467.0,332169.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
462.0,325033.0,-40882.61,
469.0,334866.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
468.0,333507.0,-41399.004,
472.0,339103.0,-41399.004,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
467.0,332427.0,-41399.004,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
468.0,333955.0,-41399.004,
462.0,325033.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
463.0,326698.0,-40882.61,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
465.0,329062.0,-41399.004,
463.0,326785.0,-40882.61,
469.0,335879.0,-41399.004,
464.0,328884.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
462.0,325033.0,-40882.61,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
469.0,334755.0,-41399.004,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
462.0,325033.0,-40882.61,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
462.0,325033.0,-40882.61,
463.0,326785.0,-40882.61,
467.0,332169.0,-41399.004,
464.0,328612.0,-40882.61,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
464.0,328612.0,-40882.61,
463.0,326785.0,-40882.61,
466.0,330381.0,-41399.004,
467.0,332169.0,-41399.004,
466.0,330381.0,-41399.004,
463.0,326785.0,-40882.61,
462.0,325033.0,-40882.61,
466.0,330381.0,-41399.004,
466.0,330381.0,-41399.004,
464.0,328612.0,-40882.61,
