X, Y, Z
-0.28139198,-6.4876657,-3.0998695,
-0.28139198,-6.51578,-3.1560986,
-0.2532775,-6.4806366,-3.0998695,
-0.2532775,-6.51578,-3.0998695,
-0.2532775,-6.473608,-3.0787835,
-0.1900199,-6.51578,-3.092841,
-0.2532775,-6.51578,-3.0998695,
-0.2532775,-6.51578,-3.127984,
-0.2532775,-6.4876657,-3.1139266,
-0.2532775,-6.5438943,-3.127984,
-0.28842062,-6.5087514,-3.106898,
-0.2532775,-6.494694,-3.0998695,
-0.23922026,-6.51578,-3.1209555,
-0.27436337,-6.4665794,-3.127984,
-0.24624889,-6.5509233,-3.127984,
-0.2532775,-6.51578,-3.0998695,
-0.28139198,-6.51578,-3.0998695,
-0.26733476,-6.51578,-3.0998695,
-0.20407715,-6.501723,-3.1139266,
-0.2532775,-6.4665794,-3.1631272,
-0.2532775,-6.5438943,-3.071755,
-0.27436337,-6.51578,-3.0998695,
-0.2532775,-6.494694,-3.0998695,
-0.2532775,-6.51578,-3.0998695,
-0.2532775,-6.51578,-3.0998695,
-0.28139198,-6.51578,-3.0998695,
-0.2532775,-6.51578,-3.0998695,
-0.23219164,-6.494694,-3.1209555,
-0.2532775,-6.529837,-3.1139266,
-0.2532775,-6.4876657,-3.0998695,
-0.2532775,-6.494694,-3.127984,
-0.2532775,-6.4876657,-3.106898,
-0.2532775,-6.51578,-3.127984,
-0.2532775,-6.459551,-3.0787835,
-0.2532775,-6.459551,-3.106898,
-0.2532775,-6.5509233,-3.0998695,
-0.2532775,-6.51578,-3.1350126,
-0.28842062,-6.4876657,-3.0998695,
-0.2532775,-6.4454937,-3.1139266,
-0.2532775,-6.5087514,-3.106898,
-0.2884206,-6.51578,-3.071755,
-0.22516301,-6.51578,-3.092841,
-0.26030612,-6.51578,-3.0998695,
-0.2532775,-6.5438943,-3.127984,
-0.2532775,-6.51578,-3.127984,
-0.2532775,-6.51578,-3.0998695,
-0.26733476,-6.501723,-3.0998695,
-0.2532775,-6.51578,-3.1631272,
-0.26030612,-6.494694,-3.0998695,
-0.27436337,-6.494694,-3.0998695,
-0.2532775,-6.51578,-3.1560986,
-0.27436337,-6.494694,-3.0998695,
-0.28139198,-6.494694,-3.0858123,
-0.27436337,-6.5087514,-3.1350126,
-0.2532775,-6.4806366,-3.1631272,
-0.2532775,-6.51578,-3.1350126,
-0.22516301,-6.4876657,-3.1350126,
-0.29544923,-6.473608,-3.0998695,
-0.2532775,-6.4665794,-3.14907,
-0.2532775,-6.51578,-3.0998695,
-0.2532775,-6.4876657,-3.0998695,
-0.2181344,-6.51578,-3.127984,
-0.2532775,-6.51578,-3.106898,
-0.29544923,-6.5087514,-3.071755,
-0.28139198,-6.51578,-3.1420412,
-0.2532775,-6.51578,-3.0787835,
-0.2181344,-6.473608,-3.0647264,
-0.2532775,-6.51578,-3.106898,
-0.28842062,-6.51578,-3.1560986,
-0.2532775,-6.494694,-3.0998695,
-0.2532775,-6.494694,-3.0998695,
-0.2181344,-6.51578,-3.0998695,
-0.2532775,-6.5228086,-3.0787835,
-0.2532775,-6.4806366,-3.1209555,
-0.24624889,-6.501723,-3.0998695,
-0.26733476,-6.51578,-3.1139266,
-0.28139198,-6.51578,-3.0998695,
-0.2532775,-6.501723,-3.092841,
-0.2532775,-6.51578,-3.1350126,
-0.28139198,-6.5438943,-3.1209555,
-0.2532775,-6.51578,-3.0998695,
-0.26733476,-6.501723,-3.1139266,
-0.2181344,-6.51578,-3.1350126,
-0.28842062,-6.4806366,-3.127984,
-0.2181344,-6.51578,-3.0998695,
-0.2532775,-6.4525223,-3.0647264,
-0.2532775,-6.51578,-3.0998695,
-0.23922026,-6.51578,-3.0998695,
-0.2532775,-6.4806366,-3.0998695,
-0.22516301,-6.5438943,-3.071755,
-0.23922026,-6.494694,-3.0998695,
-0.2532775,-6.4525223,-3.0998695,
-0.2181344,-6.4876657,-3.0998695,
-0.23922026,-6.529837,-3.1139266,
-0.26030612,-6.4806366,-3.0998695,
-0.23219164,-6.494694,-3.0998695,
-0.2532775,-6.4876657,-3.106898,
-0.28139198,-6.4876657,-3.0998695,
