Alfa, Beta, Gamma, Alfa Rate, Beta Rate, Gamma Rate
-2.2662382,89.66103,170.44193,0.0,0.0,0.0,
-2.2605975,89.65484,170.26868,0.2156496,-0.15068054,-4.6195984,
-2.2468204,89.68189,170.87495,0.2156496,-0.15068054,-4.6195984,
-2.2496138,89.66564,170.49765,-0.008106232,-0.31661987,-7.923126,
-2.2717092,89.6918,171.21431,-0.008106232,-0.31661987,-7.923126,
-2.245852,89.6947,171.2297,0.06568432,-0.1411438,-3.8642883,
-2.256114,89.68563,171.03917,-0.07110834,-0.18310547,-4.3182373,
-2.2833323,89.66867,170.72653,0.18292665,0.10871887,1.991272,
-2.2744002,89.69243,171.27252,0.111699104,-0.076293945,-2.357483,
-2.2580602,89.70767,171.59825,0.111699104,-0.076293945,-2.357483,
-2.2544823,89.70775,171.58275,0.111699104,-0.076293945,-2.357483,
-2.2645047,89.69775,171.35246,-0.10496378,-0.26130676,-6.259918,
-2.2664213,89.67289,170.76765,-0.06109476,0.059127808,1.5525818,
-2.2854896,89.66076,170.58694,0.26148558,0.059127808,0.51498413,
-2.2657068,89.700386,171.45828,-0.5955696,-0.4825592,-9.246826,
-2.2677984,89.70541,171.58623,-0.5955696,-0.4825592,-9.246826,
-2.2497487,89.70292,171.45222,-0.5955696,-0.4825592,-9.246826,
-2.2500308,89.70164,171.41754,-0.5955696,-0.4825592,-9.246826,
-2.252937,89.69739,171.31949,-0.5955696,-0.4825592,-9.246826,
-2.2639387,89.70892,171.67467,-0.5955696,-0.4825592,-9.246826,
-2.2514868,89.71581,171.79504,-0.073194504,-0.11444092,-2.5253296,
-2.2561743,89.719574,171.895,-0.073194504,-0.11444092,-2.5253296,
-2.279775,89.72497,172.104,-0.14448166,0.08201599,2.4719238,
-2.2672594,89.71254,171.73544,-0.14448166,0.08201599,2.4719238,
-2.255795,89.70406,171.48296,-0.1796484,-0.06866455,-1.0108948,
-2.2499475,89.681206,170.88155,-0.25713444,0.12779236,3.9024353,
-2.2577095,89.68967,171.1155,-0.2824664,-0.2937317,-6.2026978,
-2.2544188,89.693825,171.20874,-0.2824664,-0.2937317,-6.2026978,
-2.2581668,89.699684,171.36813,0.33175945,-0.0743866,-3.1967163,
-2.2440772,89.70216,171.40121,0.33175945,-0.0743866,-3.1967163,
-2.264411,89.68205,170.98718,0.33175945,-0.0743866,-3.1967163,
-2.2702067,89.67974,170.95781,0.3951192,0.076293945,0.6713867,
-2.2459433,89.66806,170.54982,0.3951192,0.076293945,0.6713867,
-2.2361577,89.66214,170.36499,-0.34159422,-0.23841858,-4.1007996,
-2.238199,89.664955,170.43945,-0.6030798,-0.25749207,-2.6283264,
-2.2556624,89.659195,170.36554,-0.0123381615,-0.036239624,-0.8201599,
-2.2667413,89.66357,170.5207,-0.24712086,-0.0705719,-0.5874634,
-2.265647,89.670845,170.70348,-0.24712086,-0.0705719,-0.5874634,
-2.233611,89.66816,170.48732,0.11652708,-0.11253357,-3.1394958,
-2.261822,89.67431,170.78217,0.11652708,-0.11253357,-3.1394958,
-2.2662194,89.674355,170.79005,0.12040138,-0.21362305,-5.569458,
-2.2424362,89.66174,170.37254,0.12040138,-0.21362305,-5.569458,
-2.2502246,89.66064,170.37946,0.18423796,0.061035156,0.7324219,
-2.2289999,89.673584,170.61667,-0.13250113,0.06866455,2.368927,
-2.2478824,89.68232,170.91187,-0.13250113,0.06866455,2.368927,
-2.2556348,89.683205,170.96187,-0.13250113,0.06866455,2.368927,
-2.2585557,89.67992,170.8936,-0.13250113,0.06866455,2.368927,
-2.2559233,89.68427,170.99934,0.35911798,-0.061035156,-3.124237,
-2.2579422,89.68081,170.9482,0.35911798,-0.061035156,-3.124237,
-2.2800493,89.677086,170.90405,0.061035156,-0.032424927,-1.0643005,
-2.2691967,89.679504,170.94716,-0.2847314,-0.13923645,-1.9874573,
-2.267668,89.68525,171.09836,-0.3117323,0.30326843,9.098053,
-2.259379,89.700264,171.44748,-0.3117323,0.30326843,9.098053,
-2.255344,89.69939,171.39955,0.01603365,0.13923645,3.200531,
-2.2403862,89.684135,170.93379,0.19228458,0.049591064,0.4348755,
-2.247568,89.68193,170.90926,0.19228458,0.049591064,0.4348755,
-2.2426589,89.67685,170.76056,0.11205673,0.17547607,3.8490295,
-2.2447798,89.67466,170.72174,0.11205673,0.17547607,3.8490295,
-2.226803,89.684654,170.87985,0.11205673,0.17547607,3.8490295,
-2.2483726,89.68913,171.08232,0.061810017,-0.07247925,-1.9798279,
-2.2475312,89.68242,170.91087,0.061810017,-0.07247925,-1.9798279,
-2.2539666,89.69524,171.26587,0.09024143,-0.036239624,-1.2931824,
-2.2454028,89.66802,170.54678,0.22727251,-0.04005432,-2.1705627,
-2.2449875,89.67411,170.70186,-0.0026226044,0.24032593,5.870819,
-2.2430313,89.67267,170.65967,-0.3348589,0.1487732,5.153656,
-2.256236,89.6939,171.2376,0.08749962,0.032424927,0.45776367,
-2.2534828,89.67379,170.71857,0.08749962,0.032424927,0.45776367,
-2.237176,89.68097,170.87798,-0.1155138,-0.5016327,-12.058258,
-2.2499206,89.66926,170.6187,-0.23949146,0.08392334,2.8076172,
-2.2344277,89.66345,170.40285,0.23531914,-0.11634827,-4.047394,
-2.249923,89.670555,170.6932,0.4338622,-0.011444092,-2.1476746,
-2.2349389,89.678535,170.84924,0.4338622,-0.011444092,-2.1476746,
-2.234863,89.67981,170.86218,0.017344952,0.0038146973,0.015258789,
-2.2296648,89.68809,171.03587,0.017344952,0.0038146973,0.015258789,
-2.2206938,89.68624,170.95615,0.017344952,0.0038146973,0.015258789,
-2.217661,89.68606,170.92252,0.017344952,0.0038146973,0.015258789,
-2.229902,89.68542,170.95505,0.017344952,0.0038146973,0.015258789,
-2.2407408,89.676125,170.75513,0.017344952,0.0038146973,0.015258789,
-2.2433515,89.7106,171.66132,0.030815601,0.17738342,4.2915344,
-2.2427335,89.700035,171.37321,0.11008978,-0.30517578,-7.949829,
-2.249221,89.68951,171.13194,0.11008978,-0.30517578,-7.949829,
-2.2512045,89.67944,170.8972,-0.73987246,-0.16403198,-0.50354004,
-2.2659438,89.66902,170.71216,0.20718575,0.11444092,2.4261475,
-2.24575,89.666275,170.55055,0.5624294,-0.01335144,-3.2234192,
-2.2473917,89.68375,170.9543,-0.03796816,-0.1296997,-3.025055,
-2.236118,89.692955,171.14757,-0.2707839,-0.15449524,-2.5177002,
-2.2678025,89.644516,170.07245,-0.23061037,0.049591064,2.3155212,
-2.2389011,89.667885,170.55487,-0.11515617,0.076293945,2.2201538,
-2.2365649,89.69274,171.13606,0.19204617,0.0743866,1.2626648,
-2.2376297,89.68346,170.94154,0.22685528,0.11444092,2.1362305,
-2.252141,89.67904,170.89526,0.22685528,0.11444092,2.1362305,
-2.2434635,89.681885,170.91402,-0.17893314,0.3528595,8.876801,
-2.2436523,89.682106,170.92966,-0.17893314,0.3528595,8.876801,
-2.2428417,89.68233,170.90753,-0.121831894,0.08773804,2.7656555,
-2.2534688,89.68323,170.95387,0.3771782,-0.34332275,-10.463715,
-2.2582316,89.681755,170.94035,-0.2913475,0.0667572,3.1738281,
-2.2562878,89.671875,170.68503,0.08177757,-0.04386902,-1.499176,
-2.241937,89.67755,170.775,0.04595518,0.034332275,0.61035156,
-2.24284,89.67705,170.7782,0.0046491623,0.05722046,1.373291,
-2.2343984,89.682495,170.88948,0.0046491623,0.05722046,1.373291,
-2.2334592,89.681984,170.91386,0.10204315,0.38909912,7.9841614,
-2.2102327,89.67252,170.5496,0.045895576,0.1335144,3.501892,
-2.2233646,89.674545,170.63902,0.045895576,0.1335144,3.501892,
-2.2453167,89.665054,170.46588,-0.18918514,-0.05531311,-0.60272217,
-2.2463956,89.68449,170.96655,-0.12344122,0.18692017,4.9324036,
-2.249148,89.69017,171.12363,-0.35840273,0.12207031,4.3182373,
-2.2392352,89.68309,170.91756,0.22536516,0.13923645,2.7389526,
-2.2271538,89.693306,171.11586,-0.3029108,0.18119812,5.5007935,
-2.2400665,89.7004,171.32742,0.37378073,-0.0705719,-3.112793,
-2.2385335,89.69645,171.22783,0.16003847,0.18119812,4.1007996,
-2.2390714,89.67422,170.68332,0.083088875,-0.16975403,-4.5547485,
-2.2347481,89.67992,170.81407,0.083088875,-0.16975403,-4.5547485,
-2.232921,89.68197,170.8537,0.23055077,-0.04386902,-2.0256042,
-2.2533557,89.709694,171.5943,0.23055077,-0.04386902,-2.0256042,
-2.2490833,89.70275,171.4187,0.23055077,-0.04386902,-2.0256042,
-2.2455761,89.69431,171.2025,-0.5735159,-0.09727478,-0.25177002,
-2.252999,89.68716,171.05379,-0.5735159,-0.09727478,-0.25177002,
-2.2393959,89.67076,170.59146,-0.18030405,-0.14686584,-2.7198792,
-2.2502086,89.68826,171.07025,-0.26738644,-0.41770935,-8.918762,
-2.2558222,89.68524,171.03145,0.0023841858,0.3414154,8.644104,
-2.257221,89.69059,171.1639,-0.24491549,0.1449585,4.623413,
-2.2604046,89.712746,171.70312,0.124931335,-0.17929077,-4.9362183,
-2.2611341,89.70909,171.62265,0.124931335,-0.17929077,-4.9362183,
-2.2386425,89.6815,170.88783,0.39839745,0.0038146973,-1.5258789,
-2.2473965,89.680626,170.88005,0.39839745,0.0038146973,-1.5258789,
-2.2639635,89.685295,171.04839,0.39839745,0.0038146973,-1.5258789,
-2.268318,89.68702,171.10893,0.35768747,0.17738342,3.4675598,
-2.2524993,89.677734,170.81244,0.35768747,0.17738342,3.4675598,
-2.238851,89.67495,170.70679,0.35768747,0.17738342,3.4675598,
-2.2570374,89.70518,171.52625,-0.16540289,-0.35095215,-8.262634,
-2.247033,89.70989,171.59529,-0.24819374,0.04005432,3.3226013,
-2.2474775,89.68663,171.01329,0.01937151,0.015258789,0.2670288,
-2.2579465,89.67824,170.84085,0.01937151,0.015258789,0.2670288,
-2.2404492,89.69199,171.12431,-0.14615059,0.076293945,2.357483,
-2.2477226,89.69111,171.14429,-0.19401312,-0.23460388,-4.798889,
-2.2447314,89.68368,170.94258,0.13005733,-0.08773804,-2.7770996,
