Skladowa H, Regulator Alfa, Regulator Beta, Uchyb Alfa, Uchyb Beta, PWM, Reg Alfa Rate, Reg Beta Rate
0.0,0.0,0.0,-2.254284,-0.3382721,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2791824,-0.32687378,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2577198,-0.34259796,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2577198,-0.34259796,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2577198,-0.34259796,0.0,0.0,0.0,
0.0,0.0,0.0,-2.251568,-0.33772278,0.0,0.0,0.0,
0.0,0.0,0.0,-2.251568,-0.33772278,0.0,0.0,0.0,
0.0,0.0,0.0,-2.251568,-0.33772278,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2866485,-0.30267334,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273741,-0.32524872,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2656538,-0.30584717,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,-0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,-0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,-0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,-0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,-0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,-0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273665,-0.32357025,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2738426,-0.2993164,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2563634,-0.30252075,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2492826,-0.29597473,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2480364,-0.29756165,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2799852,-0.27697754,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2625215,-0.28961182,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2625215,-0.28961182,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2636278,-0.32530975,0.0,0.0,0.0,
0.0,0.0,0.0,-2.266367,-0.32089233,0.0,0.0,0.0,
0.0,0.0,0.0,-2.266367,-0.32089233,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2329109,-0.3179016,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2329109,-0.3179016,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2329109,-0.3179016,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2303224,-0.3407669,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2303224,-0.3407669,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2303224,-0.3407669,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2361417,-0.33760834,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2483642,-0.33007812,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2483642,-0.33007812,0.0,0.0,0.0,
