Alfa, Beta, Gamma
-2.825161,89.90053,160.73811,
-2.8246183,89.88505,164.9155,
-2.81525,89.87802,168.3261,
-2.81525,89.87802,168.3261,
-2.7919028,89.89078,134.39561,
-2.7721028,89.87338,95.31,
-2.7721028,89.87338,95.31,
12.131249,89.97948,36.860527,
20.470655,91.40679,23.434319,
20.470655,91.40679,23.434319,
28.63048,89.33875,16.465872,
28.63048,89.33875,16.465872,
32.14792,84.958466,16.52769,
32.14792,84.958466,16.52769,
-35.906223,37.464012,110.83839,
-35.906223,37.464012,110.83839,
-50.73606,31.903063,124.15403,
-50.73606,31.903063,124.15403,
-50.73606,31.903063,124.15403,
-56.462193,29.456984,128.90192,
-56.462193,29.456984,128.90192,
-56.462193,29.456984,128.90192,
-56.462193,29.456984,128.90192,
-59.399994,28.434198,131.65158,
-9.346204,35.570137,96.22543,
-9.346204,35.570137,96.22543,
14.4879,35.783535,78.52691,
37.343475,32.688633,63.249733,
37.343475,32.688633,63.249733,
37.503284,90.332085,-8.118532,
37.503284,90.332085,-8.118532,
29.925573,105.54708,-31.325768,
25.857313,111.317535,-42.089348,
25.857313,111.317535,-42.089348,
25.857313,111.317535,-42.089348,
20.505362,115.84535,-53.445915,
10.173884,120.13218,-72.14304,
10.173884,120.13218,-72.14304,
6.556366,121.30121,-78.42861,
0.5912135,120.885445,-88.91904,
0.5912135,120.885445,-88.91904,
-28.427576,101.83854,-97.154724,
-33.557137,92.60564,-10.865008,
-33.557137,92.60564,-10.865008,
-33.557137,92.60564,-10.865008,
-33.557137,92.60564,-10.865008,
-33.557137,92.60564,-10.865008,
-33.557137,92.60564,-10.865008,
-33.557137,92.60564,-10.865008,
-33.557137,92.60564,-10.865008,
-33.557137,92.60564,-10.865008,
-45.207348,43.56809,119.89681,
-45.207348,43.56809,119.89681,
-43.30226,36.1789,118.48386,
-43.30226,36.1789,118.48386,
-43.30226,36.1789,118.48386,
-8.294559,30.885265,95.11447,
5.0663457,30.006062,87.279335,
16.416525,29.103779,80.61023,
16.416525,29.103779,80.61023,
26.26288,28.102413,74.944496,
26.26288,28.102413,74.944496,
26.26288,28.102413,74.944496,
32.7272,27.215214,71.20722,
47.53733,25.440966,61.461987,
