X, Y, Z, Dlugosc wektora
-0.056499556,0.0016266666,1.0379218,1.038974,
-0.056499556,0.0016266666,1.0379218,1.038974,
-0.056499556,0.0016266666,1.0379218,1.0402266,
-0.056499556,0.0016266666,1.0379218,1.0402266,
-0.056499556,0.0016266666,1.0379218,1.0396808,
-0.056499556,0.0016266666,1.0379218,1.0396808,
-0.05736711,1.08444445E-4,1.037488,1.0405086,
-0.05584889,0.0055306666,1.0396569,1.0279851,
-0.05584889,0.0055306666,1.0396569,1.0098673,
-0.05584889,0.0055306666,1.0396569,1.0098673,
-0.05584889,0.0055306666,1.0396569,1.015504,
-0.05584889,0.0055306666,1.0396569,1.015504,
-0.05584889,0.0055306666,1.0396569,1.015504,
-0.05584889,0.0055306666,1.0396569,1.0161933,
-0.05584889,0.0055306666,1.0396569,1.0161933,
0.7010933,-0.00488,0.73069865,1.013081,
0.7010933,-0.00488,0.73069865,1.0132117,
0.7010933,-0.00488,0.73069865,1.0132117,
0.73481953,-0.0010844445,0.6826578,1.0081136,
0.73481953,-0.0010844445,0.6826578,1.0081136,
0.73481953,-0.0010844445,0.6826578,1.0037272,
0.73481953,-0.0010844445,0.6826578,1.0037272,
0.73481953,-0.0010844445,0.6826578,0.93976307,
0.73481953,-0.0010844445,0.6826578,0.93976307,
-0.26482132,-0.09412978,0.95929956,1.0483568,
-0.8592053,0.034051556,0.63949686,1.0536326,
-0.17231822,0.8641938,0.5669476,1.0283284,
-0.17231822,0.8641938,0.5669476,1.0283284,
-0.17231822,0.8641938,0.5669476,1.0283284,
-0.10085333,0.91863286,0.5219431,1.0493252,
-0.10085333,0.91863286,0.5219431,1.0493252,
0.58831114,0.6300622,0.52161777,1.0544116,
0.67723554,0.18782578,0.68797153,0.9761246,
0.5579467,-0.10519111,0.79413867,0.96345115,
0.5579467,-0.10519111,0.79413867,0.96345115,
0.6049031,-0.28629333,0.77993244,1.0380416,
0.6049031,-0.28629333,0.77993244,1.0380416,
0.6049031,-0.28629333,0.77993244,1.0274919,
0.6049031,-0.28629333,0.77993244,1.0480006,
0.6049031,-0.28629333,0.77993244,1.0480006,
0.6049031,-0.28629333,0.77993244,1.0480006,
0.6049031,-0.28629333,0.77993244,1.0480006,
0.6049031,-0.28629333,0.77993244,1.0480006,
0.6049031,-0.28629333,0.77993244,1.0480006,
-0.041425776,-0.65316087,0.0,1.0618386,
-0.4477671,-0.54807824,0.8327449,1.0079522,
-0.4477671,-0.54807824,0.8327449,1.0079522,
-0.69068265,-0.36567464,0.72430044,1.0720392,
-0.69068265,-0.36567464,0.72430044,1.0720392,
-0.69068265,-0.36567464,0.72430044,1.0720392,
-0.69068265,-0.36567464,0.72430044,1.0720392,
-0.8526987,-0.16255821,0.63938844,1.0675752,
-0.8526987,-0.16255821,0.63938844,1.0675752,
-0.8526987,-0.16255821,0.63938844,1.0675752,
-0.8526987,-0.16255821,0.63938844,1.0407443,
-0.8526987,-0.16255821,0.63938844,1.0407443,
-0.37890488,0.4442969,0.84727645,1.035374,
-0.37890488,0.4442969,0.84727645,1.035374,
-0.37890488,0.4442969,0.84727645,1.0352113,
-0.37890488,0.4442969,0.84727645,1.0352113,
-0.37890488,0.4442969,0.84727645,1.0214723,
-0.37890488,0.4442969,0.84727645,1.0214723,
-0.37890488,0.4442969,0.84727645,1.0357101,
-0.37890488,0.4442969,0.84727645,1.0357101,
