Skladowa H, Regulator Alfa, Regulator Beta, Uchyb Alfa, Uchyb Beta, PWM
0.0,0.0,0.0,-3.0710988,0.08302307,0.0,
0.0,0.0,0.0,-3.0710988,0.08302307,0.0,
0.0,0.0,0.0,-3.0710988,0.08302307,0.0,
0.0,0.0,0.0,-3.0710988,0.08302307,0.0,
0.0,0.0,0.0,-3.0710988,0.08302307,0.0,
0.0,0.0,0.0,-3.0710988,0.08302307,0.0,
0.0,0.0,0.0,-3.0965607,0.060142517,0.0,
0.0,0.0,0.0,-3.0516615,0.10374451,0.0,
0.0,0.0,0.0,-3.0516615,0.10374451,0.0,
0.0,0.0,0.0,-3.0552864,0.068603516,0.0,
0.0,0.0,0.0,-3.0552864,0.068603516,0.0,
0.0,0.0,0.0,-1.3886144,0.049942017,0.0,
0.0,0.0,0.0,-1.3886144,0.049942017,0.0,
0.0,0.0,0.0,6.3135037,0.06452179,0.0,
0.0,0.0,0.0,14.480298,0.07115173,0.0,
0.0,0.0,0.0,14.480298,0.07115173,0.0,
0.0,0.0,0.0,14.480298,0.07115173,0.0,
0.0,0.0,0.0,14.480298,0.07115173,0.0,
0.0,0.0,0.0,14.480298,0.07115173,0.0,
0.0,0.0,0.0,14.480298,0.07115173,0.0,
0.0,0.0,0.0,14.480298,0.07115173,0.0,
0.0,0.0,0.0,14.480298,0.07115173,0.0,
0.0,0.0,0.0,14.480298,0.07115173,0.0,
0.0,0.0,0.0,14.480298,0.07115173,0.0,
0.0,0.0,0.0,40.54345,-0.09757233,0.0,
0.0,0.0,0.0,40.54345,-0.09757233,0.0,
0.0,0.0,0.0,40.54345,-0.09757233,0.0,
0.0,0.0,0.0,40.54345,-0.09757233,0.0,
0.0,0.0,0.0,2.8330064,-3.6281128,0.0,
0.0,0.0,0.0,2.8330064,-3.6281128,0.0,
0.0,0.0,0.0,-13.749688,-3.3229752,0.0,
0.0,0.0,0.0,-13.749688,-3.3229752,0.0,
0.0,0.0,0.0,-34.685043,-0.67009735,0.0,
0.0,0.0,0.0,-34.685043,-0.67009735,0.0,
0.0,0.0,0.0,-34.685043,-0.67009735,0.0,
0.0,0.0,0.0,-34.685043,-0.67009735,0.0,
0.0,0.0,0.0,-34.685043,-0.67009735,0.0,
0.0,0.0,0.0,-34.685043,-0.67009735,0.0,
0.0,0.0,0.0,-44.81943,10.4889145,0.0,
0.0,0.0,0.0,-44.81943,10.4889145,0.0,
0.0,0.0,0.0,-44.81943,10.4889145,0.0,
0.0,0.0,0.0,10.957742,61.378105,0.0,
0.0,0.0,0.0,10.957742,61.378105,0.0,
0.0,0.0,0.0,10.957742,61.378105,0.0,
0.0,0.0,0.0,10.957742,61.378105,0.0,
0.0,0.0,0.0,10.957742,61.378105,0.0,
0.0,0.0,0.0,43.54254,37.406517,0.0,
0.0,0.0,0.0,39.528557,15.50676,0.0,
0.0,0.0,0.0,39.528557,15.50676,0.0,
0.0,0.0,0.0,38.74533,5.899811,0.0,
0.0,0.0,0.0,38.74533,5.899811,0.0,
0.0,0.0,0.0,34.488785,-12.311676,0.0,
0.0,0.0,0.0,31.246098,-19.467537,0.0,
0.0,0.0,0.0,31.246098,-19.467537,0.0,
0.0,0.0,0.0,31.246098,-19.467537,0.0,
0.0,0.0,0.0,31.246098,-19.467537,0.0,
0.0,0.0,0.0,9.650639,-32.958214,0.0,
0.0,0.0,0.0,9.650639,-32.958214,0.0,
0.0,0.0,0.0,9.650639,-32.958214,0.0,
0.0,0.0,0.0,-39.006878,-24.287392,0.0,
0.0,0.0,0.0,-39.006878,-24.287392,0.0,
0.0,0.0,0.0,-39.006878,-24.287392,0.0,
0.0,0.0,0.0,-39.006878,-24.287392,0.0,
0.0,0.0,0.0,-39.006878,-24.287392,0.0,
0.0,0.0,0.0,-39.006878,-24.287392,0.0,
0.0,0.0,0.0,-39.006878,-24.287392,0.0,
0.0,0.0,0.0,-31.63525,48.943275,0.0,
0.0,0.0,0.0,-31.63525,48.943275,0.0,
0.0,0.0,0.0,-31.63525,48.943275,0.0,
0.0,0.0,0.0,-31.63525,48.943275,0.0,
0.0,0.0,0.0,-31.63525,48.943275,0.0,
0.0,0.0,0.0,-31.63525,48.943275,0.0,
0.0,0.0,0.0,-32.005733,53.64616,0.0,
0.0,0.0,0.0,-32.005733,53.64616,0.0,
0.0,0.0,0.0,-12.581405,59.046837,0.0,
0.0,0.0,0.0,-12.581405,59.046837,0.0,
0.0,0.0,0.0,-12.581405,59.046837,0.0,
0.0,0.0,0.0,24.894848,57.345673,0.0,
0.0,0.0,0.0,24.894848,57.345673,0.0,
0.0,0.0,0.0,32.682755,57.212536,0.0,
0.0,0.0,0.0,32.682755,57.212536,0.0,
0.0,0.0,0.0,46.06712,58.311577,0.0,
0.0,0.0,0.0,46.06712,58.311577,0.0,
0.0,0.0,0.0,46.06712,58.311577,0.0,
0.0,0.0,0.0,46.06712,58.311577,0.0,
0.0,0.0,0.0,46.06712,58.311577,0.0,
0.0,0.0,0.0,53.88059,57.160614,0.0,
0.0,0.0,0.0,53.88059,57.160614,0.0,
0.0,0.0,0.0,52.237755,-4.0063095,0.0,
0.0,0.0,0.0,52.237755,-4.0063095,0.0,
0.0,0.0,0.0,52.225796,-27.570969,0.0,
0.0,0.0,0.0,52.225796,-27.570969,0.0,
0.0,0.0,0.0,51.986797,-34.161148,0.0,
0.0,0.0,0.0,51.986797,-34.161148,0.0,
0.0,0.0,0.0,51.986797,-34.161148,0.0,
0.0,0.0,0.0,51.986797,-34.161148,0.0,
0.0,0.0,0.0,51.986797,-34.161148,0.0,
0.0,0.0,0.0,51.986797,-34.161148,0.0,
0.0,0.0,0.0,51.986797,-34.161148,0.0,
0.0,0.0,0.0,51.986797,-34.161148,0.0,
0.0,0.0,0.0,51.986797,-34.161148,0.0,
0.0,0.0,0.0,51.986797,-34.161148,0.0,
0.0,0.0,0.0,-13.508236,-25.807007,0.0,
0.0,0.0,0.0,-13.508236,-25.807007,0.0,
0.0,0.0,0.0,-13.508236,-25.807007,0.0,
0.0,0.0,0.0,-13.508236,-25.807007,0.0,
0.0,0.0,0.0,-13.508236,-25.807007,0.0,
0.0,0.0,0.0,-13.508236,-25.807007,0.0,
0.0,0.0,0.0,-41.443115,-23.104736,0.0,
0.0,0.0,0.0,-41.443115,-23.104736,0.0,
0.0,0.0,0.0,-41.443115,-23.104736,0.0,
0.0,0.0,0.0,-41.443115,-23.104736,0.0,
0.0,0.0,0.0,-41.443115,-23.104736,0.0,
0.0,0.0,0.0,-43.942585,8.450317,0.0,
0.0,0.0,0.0,-43.942585,8.450317,0.0,
0.0,0.0,0.0,-42.469006,25.779823,0.0,
0.0,0.0,0.0,-42.469006,25.779823,0.0,
0.0,0.0,0.0,-42.469006,25.779823,0.0,
0.0,0.0,0.0,-37.635517,45.06703,0.0,
0.0,0.0,0.0,-37.635517,45.06703,0.0,
0.0,0.0,0.0,-34.860016,54.183403,0.0,
0.0,0.0,0.0,1.0565315,58.28537,0.0,
0.0,0.0,0.0,1.0565315,58.28537,0.0,
0.0,0.0,0.0,1.0565315,58.28537,0.0,
0.0,0.0,0.0,1.0565315,58.28537,0.0,
0.0,0.0,0.0,31.91175,58.59191,0.0,
0.0,0.0,0.0,31.91175,58.59191,0.0,
0.0,0.0,0.0,37.022964,58.94575,0.0,
0.0,0.0,0.0,37.022964,58.94575,0.0,
0.0,0.0,0.0,37.022964,58.94575,0.0,
0.0,0.0,0.0,39.660816,58.507378,0.0,
0.0,0.0,0.0,39.660816,58.507378,0.0,
0.0,0.0,0.0,39.138474,38.751102,0.0,
0.0,0.0,0.0,39.138474,38.751102,0.0,
0.0,0.0,0.0,39.138474,38.751102,0.0,
0.0,0.0,0.0,39.138474,38.751102,0.0,
0.0,0.0,0.0,38.004333,9.186813,0.0,
0.0,0.0,0.0,38.03879,-13.721123,0.0,
0.0,0.0,0.0,37.99816,-21.076881,0.0,
0.0,0.0,0.0,37.99816,-21.076881,0.0,
0.0,0.0,0.0,37.99816,-21.076881,0.0,
0.0,0.0,0.0,37.99816,-21.076881,0.0,
0.0,0.0,0.0,37.99816,-21.076881,0.0,
0.0,0.0,0.0,37.99816,-21.076881,0.0,
0.0,0.0,0.0,-2.415313,-23.656937,0.0,
0.0,0.0,0.0,-2.415313,-23.656937,0.0,
0.0,0.0,0.0,-2.415313,-23.656937,0.0,
0.0,0.0,0.0,-2.415313,-23.656937,0.0,
0.0,0.0,0.0,-2.415313,-23.656937,0.0,
0.0,0.0,0.0,-2.415313,-23.656937,0.0,
0.0,0.0,0.0,-39.91366,33.70501,0.0,
0.0,0.0,0.0,-39.91366,33.70501,0.0,
0.0,0.0,0.0,-39.91366,33.70501,0.0,
0.0,0.0,0.0,-36.82929,52.580364,0.0,
0.0,0.0,0.0,-32.430923,53.727943,0.0,
0.0,0.0,0.0,-32.430923,53.727943,0.0,
0.0,0.0,0.0,-32.430923,53.727943,0.0,
0.0,0.0,0.0,-32.430923,53.727943,0.0,
0.0,0.0,0.0,-32.430923,53.727943,0.0,
0.0,0.0,0.0,-32.430923,53.727943,0.0,
0.0,0.0,0.0,-32.430923,53.727943,0.0,
0.0,0.0,0.0,22.789408,47.53933,0.0,
